,Neighborhood,Town,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue
0,Cempaka Putih,Central Jakarta,-6.181214499999999,106.86854766095992,3,Pizza Place,Acehnese Restaurant,Pool,Indonesian Meatball Place,BBQ Joint
1,Gambir,Central Jakarta,-6.1766841,106.8306534,3,Indonesian Restaurant,Park,Coffee Shop,Fast Food Restaurant,Food Court
2,Johar Baru,Central Jakarta,-6.18312505,106.85533232560866,4,Food Truck,Convenience Store,Arcade,Indonesian Restaurant,Italian Restaurant
3,Kemayoran,Central Jakarta,-6.1625464999999995,106.85689034074326,4,Diner,Arcade,Indonesian Restaurant,Noodle House,Wine Bar
4,Menteng,Central Jakarta,-6.1950265,106.83222419920054,3,Indonesian Restaurant,Breakfast Spot,Coffee Shop,Park,Sushi Restaurant
5,Sawah Besar,Central Jakarta,-6.155891349999999,106.83357979795008,4,Indonesian Restaurant,Pet Store,Convenience Store,Noodle House,Asian Restaurant
6,Senen,Central Jakarta,-6.184971,106.84323537475049,4,Hotel,Indonesian Restaurant,Grocery Store,History Museum,University
7,Tanah Abang,Central Jakarta,-6.2052581,106.80949961953083,4,Indonesian Restaurant,Coffee Shop,Seafood Restaurant,Pizza Place,Noodle House
9,Cilincing,North Jakarta,-6.12901455,106.944453775,0,Park,Diner,Shopping Mall,Wine Bar,Farmers Market
10,Kelapa Gading,North Jakarta,-6.15993785,106.9024825763434,4,Indonesian Restaurant,Asian Restaurant,Steakhouse,Korean Restaurant,Japanese Restaurant
11,Koja,North Jakarta,-6.12074995,106.90736211830226,4,Pizza Place,Indonesian Restaurant,Restaurant,Grocery Store,Donut Shop
12,Pademangan,North Jakarta,-6.12905175,106.82897199455174,3,Hotel,Pool,Bowling Alley,Theme Park,Vegetarian / Vegan Restaurant
13,Penjaringan,North Jakarta,-6.11726515,106.76743343432852,3,Boutique,Theme Park,Gift Shop,Grocery Store,Food Truck
14,Tanjung Priok,North Jakarta,-6.12885785,106.87079323031739,1,Bakery,Wine Bar,Frozen Yogurt Shop,French Restaurant,Food Truck
16,Cakung,East Jakarta,-6.185562,106.94010945394294,3,Lounge,Gas Station,Wine Bar,French Restaurant,Food Stand
17,Cipayung,East Jakarta,-6.3293992,106.90373891240544,3,Food,Asian Restaurant,Wine Bar,Frozen Yogurt Shop,French Restaurant
18,Ciracas,East Jakarta,-6.3296346,106.87660392506864,4,Noodle House,Indonesian Restaurant,Golf Course,Farmers Market,Food Stand
