,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue
0,Cakung,Lounge,Gas Station,Wine Bar,French Restaurant,Food Stand
1,Cempaka Putih,Pizza Place,Acehnese Restaurant,Pool,Indonesian Meatball Place,BBQ Joint
2,Cengkareng,Music Venue,Pet Store,Restaurant,Movie Theater,Electronics Store
3,Cilandak,Gym,Indonesian Restaurant,Food Truck,Convenience Store,Pizza Place
4,Cilincing,Park,Diner,Shopping Mall,Wine Bar,Farmers Market
5,Cipayung,Food,Asian Restaurant,Wine Bar,Frozen Yogurt Shop,French Restaurant
6,Ciracas,Noodle House,Indonesian Restaurant,Golf Course,Farmers Market,Food Stand
7,Duren Sawit,Indonesian Meatball Place,Convenience Store,Coffee Shop,Mediterranean Restaurant,Wine Bar
8,Gambir,Indonesian Restaurant,Park,Coffee Shop,Fast Food Restaurant,Food Court
9,Grogol Petamburan,Noodle House,Chinese Restaurant,Indonesian Restaurant,Hotel,Asian Restaurant
10,Jagakarsa,Indonesian Restaurant,Asian Restaurant,Food Court,Arcade,Gym
11,Jatinegara,Jewelry Store,Asian Restaurant,Arts & Crafts Store,Donut Shop,Food Truck
12,Johar Baru,Food Truck,Convenience Store,Arcade,Indonesian Restaurant,Italian Restaurant
13,Kalideres,Convenience Store,Indonesian Restaurant,Soccer Field,Fried Chicken Joint,Asian Restaurant
14,Kebayoran Baru,Coffee Shop,Japanese Restaurant,Sushi Restaurant,Food Truck,Hotel
15,Kebayoran Lama,Coffee Shop,Bakery,Clothing Store,Shopping Mall,Satay Restaurant
16,Kebon Jeruk,Noodle House,Concert Hall,Asian Restaurant,Park,Indonesian Restaurant
17,Kelapa Gading,Indonesian Restaurant,Asian Restaurant,Steakhouse,Korean Restaurant,Japanese Restaurant
18,Kemayoran,Diner,Arcade,Indonesian Restaurant,Noodle House,Wine Bar
19,Kembangan,Pizza Place,Asian Restaurant,Park,Indonesian Meatball Place,Bubble Tea Shop
20,Kepulauan Seribu Selatan,Boat or Ferry,Clothing Store,Fast Food Restaurant,French Restaurant,Food Truck
21,Kepulauan Seribu Utara,Resort,Wine Bar,Electronics Store,Food Stand,Food Court
22,Koja,Pizza Place,Indonesian Restaurant,Restaurant,Grocery Store,Donut Shop
23,Kramat Jati,Hospital,Indonesian Restaurant,Seafood Restaurant,Chinese Restaurant,Noodle House
24,Makasar,Indonesian Restaurant,Airport Terminal,Asian Restaurant,Wine Bar,Farmers Market
25,Mampang Prapatan,Indonesian Restaurant,Noodle House,Park,Electronics Store,Food Stand
26,Matraman,Convenience Store,Pizza Place,Electronics Store,Food Stand,Food Court
27,Menteng,Indonesian Restaurant,Breakfast Spot,Coffee Shop,Park,Sushi Restaurant
28,Pademangan,Hotel,Pool,Bowling Alley,Theme Park,Vegetarian / Vegan Restaurant
29,Palmerah,Pizza Place,Asian Restaurant,Noodle House,Coffee Shop,Medical Center
30,Pancoran,Indonesian Restaurant,Padangnese Restaurant,Asian Restaurant,Fast Food Restaurant,Restaurant
31,Pasar Minggu,Japanese Restaurant,Asian Restaurant,Bus Station,Music Store,Fast Food Restaurant
32,Pasar Rebo,Karaoke Bar,Burger Joint,Bakery,Indonesian Restaurant,Grocery Store
33,Penjaringan,Boutique,Theme Park,Gift Shop,Grocery Store,Food Truck
34,Pesanggrahan,Convenience Store,Pier,Indonesian Restaurant,Gym,Restaurant
35,Pulo Gadung,Indonesian Restaurant,Convenience Store,Pizza Place,Café,Athletics & Sports
36,Sawah Besar,Indonesian Restaurant,Pet Store,Convenience Store,Noodle House,Asian Restaurant
37,Senen,Hotel,Indonesian Restaurant,Grocery Store,History Museum,University
38,Setiabudi,Coffee Shop,Hotel,Pizza Place,Vietnamese Restaurant,Café
39,Taman Sari,Chinese Restaurant,Asian Restaurant,Hotel,Karaoke Bar,Restaurant
40,Tambora,Food Truck,Convenience Store,Tanning Salon,Department Store,Train Station
41,Tanah Abang,Indonesian Restaurant,Coffee Shop,Seafood Restaurant,Pizza Place,Noodle House
42,Tanjung Priok,Bakery,Wine Bar,Frozen Yogurt Shop,French Restaurant,Food Truck
43,Tebet,Indonesian Restaurant,Café,Bakery,Asian Restaurant,Restaurant
