,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Category
0,Cempaka Putih,-6.181214499999999,106.86854766095992,Mie Aceh Bungong Cempaka,Acehnese Restaurant
1,Cempaka Putih,-6.181214499999999,106.86854766095992,Arcici Swiming Pool™,Pool
2,Cempaka Putih,-6.181214499999999,106.86854766095992,Pizza Hut,Pizza Place
3,Cempaka Putih,-6.181214499999999,106.86854766095992,Pizza Hut,Pizza Place
4,Cempaka Putih,-6.181214499999999,106.86854766095992,Bebek Bentu,BBQ Joint
5,Cempaka Putih,-6.181214499999999,106.86854766095992,Bakso Ciat Solo,Indonesian Meatball Place
6,Gambir,-6.1766841,106.8306534,Galeri Nasional Indonesia,Art Gallery
7,Gambir,-6.1766841,106.8306534,Pengkolan Pejambon,Food Court
8,Gambir,-6.1766841,106.8306534,Starbucks,Coffee Shop
9,Gambir,-6.1766841,106.8306534,National Monument Park,Park
10,Gambir,-6.1766841,106.8306534,Bakmi GM,Noodle House
11,Gambir,-6.1766841,106.8306534,McDonald's,Fast Food Restaurant
12,Gambir,-6.1766841,106.8306534,Lapangan Silang Monas,Plaza
13,Gambir,-6.1766841,106.8306534,Jogging Track MONAS,Track
14,Gambir,-6.1766841,106.8306534,Indomaret,Convenience Store
15,Gambir,-6.1766841,106.8306534,Stasiun Gambir,Train Station
16,Gambir,-6.1766841,106.8306534,Kantin Pertamina Pejambon,Asian Restaurant
17,Gambir,-6.1766841,106.8306534,Sate Senayan,Indonesian Restaurant
18,Gambir,-6.1766841,106.8306534,Bright Cafe,Café
19,Gambir,-6.1766841,106.8306534,McDonald’s,Fast Food Restaurant
20,Gambir,-6.1766841,106.8306534,Susu Jahe Gambir,Coffee Shop
21,Gambir,-6.1766841,106.8306534,KA Argo Parahyangan,Train
22,Gambir,-6.1766841,106.8306534,"Warung Sate ""Tongseng"" Sri Rejeki",Middle Eastern Restaurant
23,Gambir,-6.1766841,106.8306534,Rotiboy Bakeshoppe,Cupcake Shop
24,Gambir,-6.1766841,106.8306534,Taman Merah Putih,Skate Park
25,Gambir,-6.1766841,106.8306534,Monas track,Racetrack
26,Gambir,-6.1766841,106.8306534,Soto Kriuk,Soup Place
