,Neighborhood,Town,Latitude,Longitude
0,Asemrowo,Surabaya,-7.2417405,112.6888023
1,Benowo,Surabaya,-7.2290546,112.6497746
2,Bubutan,Surabaya,-7.2526708,112.730062
3,Bulak,Surabaya,-7.2283541,112.7876305
4,Dukuh Pakis,Surabaya,-7.2930239,112.6951254
5,Gayungan,Surabaya,-7.3307839,112.7257892
6,Genteng,Surabaya,-7.2584687,112.7443263
7,Gubeng,Surabaya,-7.2792947,112.7566645
8,Gunung Anyar,Surabaya,-7.3395367,112.7954797
9,Jambangan,Surabaya,-7.3216981,112.7160173
10,Karang Pilang,Surabaya,-7.3359139,112.6963053
11,Kenjeran,Surabaya,-7.22023,112.771611
12,Krembangan,Surabaya,-7.2278082,112.7247523
13,Lakarsantri,Surabaya,-7.305263,112.6468121
14,Mulyorejo,Surabaya,-7.2679773,112.793519
15,Pabean Cantian,Surabaya,-7.2273235,112.7359205
16,Pakal,Surabaya,-7.2258253,112.6157882
17,Rungkut,Surabaya,-7.3197324,112.7905362
18,Sambikerep,Surabaya,-7.2776729,112.662054
19,Sawahan,Surabaya,-7.2736162,112.7200915
20,Semampir,Surabaya,-7.2195029,112.7489458
21,Simokerto,Surabaya,-7.2385948,112.7530624
22,Sukolilo,Surabaya,-7.2929641,112.7864133
23,Sukomanunggal,Surabaya,-7.2685368,112.7009952
24,Tambaksari,Surabaya,-7.2493412,112.7670031
25,Tandes,Surabaya,-7.2551475,112.6740212
26,Tegalsari,Surabaya,-7.2763435,112.7337319
27,Tenggilis Mejoyo,Surabaya,-7.3209085,112.7552486
28,Wiyung,Surabaya,-7.3110038,112.6894997
29,Wonocolo,Surabaya,-7.3207469,112.740472
30,Wonokromo,Surabaya,-7.3051648,112.73119069156793
