,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue
0,Asemrowo,Wine Bar,Fish & Chips Shop,Dessert Shop,Diner,Donut Shop
1,Benowo,Shoe Store,Food Court,Soccer Field,Wine Bar,Dessert Shop
2,Bubutan,Indonesian Restaurant,Hotel,Multiplex,Donut Shop,Pizza Place
3,Bulak,Beach,Indonesian Restaurant,Food Truck,Fish & Chips Shop,Dessert Shop
4,Dukuh Pakis,Convenience Store,Mobile Phone Shop,Boutique,Fast Food Restaurant,Diner
5,Gayungan,Asian Restaurant,Convenience Store,Hotel,Café,Boutique
6,Genteng,Soup Place,Furniture / Home Store,Park,Breakfast Spot,Bed & Breakfast
7,Gubeng,Indonesian Restaurant,Food Truck,Electronics Store,Chinese Restaurant,Café
8,Jambangan,Coffee Shop,Convenience Store,Asian Restaurant,Food Truck,Fish & Chips Shop
9,Karang Pilang,Soccer Stadium,Wine Bar,Fish & Chips Shop,Dessert Shop,Diner
10,Kenjeran,Food Court,Pizza Place,Mosque,Mobile Phone Shop,Wine Bar
11,Krembangan,Convenience Store,Farmers Market,Museum,Coffee Shop,Food Truck
12,Lakarsantri,Café,Wine Bar,Fish & Chips Shop,Diner,Donut Shop
13,Mulyorejo,Indonesian Restaurant,Coffee Shop,Convenience Store,Pizza Place,Mobile Phone Shop
14,Pabean Cantian,Indonesian Restaurant,History Museum,Food Truck,Café,Farmers Market
15,Pakal,Campground,Wine Bar,Fish & Chips Shop,Diner,Donut Shop
16,Rungkut,Convenience Store,Coffee Shop,Grocery Store,Fast Food Restaurant,Dessert Shop
17,Sambikerep,Food Truck,Indonesian Restaurant,Wine Bar,Fast Food Restaurant,Dessert Shop
18,Sawahan,Karaoke Bar,Café,Seafood Restaurant,Convention Center,Diner
19,Semampir,Noodle House,Food,Wine Bar,Fast Food Restaurant,Dessert Shop
20,Simokerto,Seafood Restaurant,Basketball Court,Arcade,Coffee Shop,Market
21,Sukolilo,Café,Supermarket,Steakhouse,Gym / Fitness Center,Asian Restaurant
22,Sukomanunggal,Noodle House,Café,Hardware Store,Soup Place,Juice Bar
23,Tambaksari,Convenience Store,Indonesian Restaurant,Asian Restaurant,Bakery,Noodle House
24,Tegalsari,Convenience Store,Indonesian Restaurant,Pool Hall,Noodle House,Convention Center
25,Tenggilis Mejoyo,Indonesian Restaurant,Food Truck,Grocery Store,Sporting Goods Shop,Hotel
26,Wiyung,Arcade,Diner,Hospital,Café,Breakfast Spot
27,Wonocolo,Convenience Store,Bakery,Café,Dumpling Restaurant,Pool Hall
28,Wonokromo,Coffee Shop,Café,Wine Bar,Convention Center,Diner
